Cname;Year;Number of cases
Argentina;2010;5083
Armenia;2010;38
Australia;2010;89
Belarus;2010;88
Belgium;2010;31
Bhutan;2010;218
Bulgaria;2010;317
Argentina;2011;5481
Armenia;2011;15
Australia;2011;145
Belarus;2011;48
Belgium;2011;15
Bhutan;2011;262
Bulgaria;2011;139
Argentina;2012;4619
Armenia;2012;6
Australia;2012;195
Belarus;2012;61
Belgium;2012;2687
Bhutan;2012;198
Bulgaria;2012;58
Argentina;2013;3772
Armenia;2013;2
Australia;2013;216
Belarus;2013;8
Belgium;2013;4573
Bhutan;2013;20
Bulgaria;2013;25
Argentina;2014;87
Armenia;2014;2
Australia;2014;187
Belarus;2014;4
Belgium;2014;228
Bhutan;2014;206
Bulgaria;2014;31
Argentina;2015;156
Armenia;2015;4
Australia;2015;633
Belarus;2015;3
Belgium;2015;119
Bhutan;2015;620
Bulgaria;2015;18
Argentina;2016;74
Armenia;2016;1
Australia;2016;800
Belarus;2016;4
Belgium;2016;153
Bhutan;2016;795
Bulgaria;2016;19
Argentina;2017;4396
Armenia;2017;8
Australia;2017;806
Belarus;2017;4
Belgium;2017;13
Bhutan;2017;259
Bulgaria;2017;15
Argentina;2018;7715
Armenia;2018;4
Australia;2018;634
Belarus;2018;1
Belgium;2018;230
Bhutan;2018;27
Bulgaria;2018;27
