<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
01.09.2020,10:00:00,113442,115111,108072,110392,43
01.09.2020,10:01:00,112039,115127,108236,108851,35
01.09.2020,10:02:00,109658,115220,108046,109189,41
01.09.2020,10:03:00,111819,115172,107935,112804,7
01.09.2020,10:04:00,108579,115139,108027,109616,84
01.09.2020,10:05:00,113320,115095,107925,109890,63
01.09.2020,10:06:00,113195,115210,107956,111064,6
01.09.2020,10:07:00,108417,115098,107989,113838,94
01.09.2020,10:08:00,109621,115233,108028,110836,25
01.09.2020,10:09:00,110965,114827,107951,109420,39
01.09.2020,10:10:00,109469,115285,108118,113586,68
01.09.2020,10:11:00,110393,115275,107967,111881,35
01.09.2020,10:12:00,112336,115230,107911,112136,97
01.09.2020,10:13:00,110169,115267,108119,109720,27
01.09.2020,10:14:00,113330,115139,107967,111122,3
01.09.2020,10:16:00,112099,115272,107971,112644,12
01.09.2020,10:17:00,111223,115258,107917,112823,17
01.09.2020,10:18:00,109755,115227,107908,109462,98
01.09.2020,10:19:00,108372,115143,107967,110478,8
01.09.2020,10:20:00,110365,115128,108059,109723,84
01.09.2020,10:21:00,114105,115254,108166,111372,86
01.09.2020,10:22:00,110363,115122,108318,109650,11
01.09.2020,10:23:00,108533,115222,107978,113496,30
01.09.2020,10:24:00,108253,115204,108147,111354,81
01.09.2020,10:25:00,110158,115271,108400,113785,72
01.09.2020,10:26:00,112517,115154,107976,108057,46
01.09.2020,10:27:00,111057,115083,108734,110227,35
01.09.2020,10:28:00,111554,115203,107961,108647,51
01.09.2020,10:29:00,111349,115272,108143,108570,72
01.09.2020,10:30:00,110204,114957,108003,114835,7
01.09.2020,10:31:00,115104,115285,107980,110247,56
01.09.2020,10:32:00,112190,115208,108009,114474,55
01.09.2020,10:33:00,112496,115020,107977,111083,13
01.09.2020,10:34:00,114694,115286,107927,114824,94
01.09.2020,10:35:00,109558,115270,107901,114354,37
01.09.2020,10:36:00,114835,114996,107912,108056,82
01.09.2020,10:37:00,108740,115220,108082,111915,83
01.09.2020,10:38:00,112475,115180,107951,109137,11
01.09.2020,10:39:00,109132,115284,108063,109493,69
01.09.2020,10:40:00,108633,115273,107942,109601,11
01.09.2020,10:41:00,113723,115143,107992,113469,12
01.09.2020,10:42:00,109615,115119,108202,108207,6
01.09.2020,10:43:00,108175,115086,108004,108863,94
01.09.2020,10:44:00,114011,115267,107935,114419,31
01.09.2020,10:45:00,113514,115220,107935,108458,74
01.09.2020,10:46:00,114722,115224,108022,113752,73
01.09.2020,10:47:00,112313,115292,108161,113903,4
01.09.2020,10:48:00,110735,115168,108158,112496,78
01.09.2020,10:49:00,109449,115051,107929,113521,2
01.09.2020,10:50:00,109539,115195,108021,110485,9
01.09.2020,10:51:00,112956,115089,107972,114676,92
01.09.2020,10:52:00,113000,115070,107982,108108,95
01.09.2020,10:53:00,113873,115231,108037,113311,70
01.09.2020,10:54:00,113309,115169,107954,112963,44
01.09.2020,10:55:00,111379,114872,108118,110634,37
01.09.2020,10:56:00,109595,114589,107931,114565,52
01.09.2020,10:57:00,112536,115233,107958,115233,29
01.09.2020,10:58:00,112501,115205,107976,110299,45
01.09.2020,10:59:00,114475,115017,108019,112622,91
01.09.2020,11:00:00,112191,115243,107994,108172,31
01.09.2020,11:01:00,113231,115281,108053,113535,12
01.09.2020,11:02:00,110678,115234,107947,114011,66
01.09.2020,11:03:00,109011,115299,108187,108583,43
