ID,DISTANCE,STOP_COUNT,COST,FITNESS,INTERNET
1,12,12,34000,22,4
2,17,8,58000,27,2
3,28,3,32000,28,0
4,8,2,23000,23,2
5,4,9,42000,8,4
6,7,7,43000,10,3
7,7,9,35000,26,0
8,12,9,21000,12,2
9,3,12,27000,22,0
10,19,3,46000,29,3
11,27,10,59000,25,2
12,29,6,53000,18,1
13,17,12,51000,7,0
14,21,3,57000,24,3
15,23,7,38000,20,2
16,3,8,44000,8,1
17,4,6,42000,28,2
18,13,8,44000,4,0
19,5,12,39000,11,2
20,23,6,30000,8,4
21,17,4,40000,29,0
22,16,10,52000,25,2
23,3,7,51000,16,4
24,8,1,23000,16,2
25,21,2,30000,8,3
26,15,2,53000,26,3
27,22,2,57000,14,0
28,11,7,29000,14,0
29,5,9,22000,10,0
30,8,6,43000,17,1
31,12,7,40000,14,0
32,7,3,43000,7,2
33,20,12,38000,13,3
34,11,9,55000,14,3
35,23,11,28000,6,1
36,15,1,49000,24,2
37,17,2,24000,9,4
38,8,11,20000,24,1
39,25,5,26000,13,0
40,18,12,22000,8,1
41,10,7,54000,5,4
42,24,5,42000,27,0
43,18,9,41000,3,1
44,17,2,27000,5,0
45,17,8,34000,22,4
46,11,4,43000,24,4
47,15,11,31000,16,1
48,19,8,58000,17,3
49,25,5,41000,8,2
50,11,4,29000,3,0
51,24,10,48000,23,3
52,21,4,32000,9,0
53,23,10,28000,29,0
54,28,12,56000,16,4
55,15,4,48000,21,3
56,21,6,55000,25,0
57,4,1,58000,23,3
58,27,3,24000,8,4
59,14,5,24000,28,2
60,26,10,31000,25,2
61,12,8,45000,16,3
62,4,8,42000,5,0
63,17,9,53000,28,4
64,14,2,39000,18,4
65,9,5,40000,11,4
66,20,12,46000,15,0
67,15,9,54000,9,3
68,4,11,55000,21,0
69,6,4,20000,16,1
70,27,9,31000,26,2
71,20,6,56000,28,3
72,26,10,50000,26,2
73,9,4,46000,3,0
74,4,3,45000,19,2
75,28,12,41000,25,4
76,23,9,47000,20,4
77,25,2,47000,8,2
78,19,1,34000,10,4
79,7,9,47000,29,1
80,22,12,43000,13,3
81,7,1,45000,3,1
82,5,10,48000,20,1
83,27,2,32000,17,2
84,12,6,36000,5,0
85,18,9,21000,5,2
86,15,4,54000,15,3
87,22,11,34000,29,3
88,6,5,26000,12,2
89,22,12,54000,17,3
90,13,6,57000,13,1
91,14,3,26000,23,3
92,25,5,25000,28,1
93,3,1,36000,20,2
94,4,9,23000,8,1
95,28,12,26000,5,2
96,9,2,20000,12,3
97,4,1,40000,9,0
98,28,6,52000,25,4
99,26,1,30000,4,2
100,8,5,42000,6,2
101,25,6,39000,15,1
102,18,11,47000,19,4
103,16,4,54000,25,4
104,5,2,20000,7,2
105,7,3,22000,20,1
106,6,2,31000,28,1
107,17,12,21000,6,3
108,5,7,36000,4,3
109,8,1,57000,3,3
110,20,9,30000,23,3
111,5,11,41000,11,2
112,23,12,42000,5,0
113,15,8,36000,15,2
114,14,11,24000,4,2
115,13,9,31000,28,0
116,28,1,49000,12,0
117,28,3,46000,11,4
118,7,11,55000,8,0
119,5,8,49000,15,1
120,18,9,30000,15,0
121,15,3,39000,15,0
122,8,3,53000,12,2
123,20,2,45000,10,0
124,8,12,30000,22,4
125,4,3,49000,17,0
126,29,2,54000,29,4
127,5,12,45000,28,2
128,6,6,30000,14,4
129,28,12,56000,24,0
130,23,10,31000,5,3
131,14,7,38000,13,4
132,8,9,30000,4,3
133,20,7,30000,9,1
134,14,2,21000,29,1
135,26,9,24000,25,2
136,21,3,57000,3,0
137,28,12,30000,28,2
138,6,4,58000,24,1
139,27,12,45000,6,4
140,26,1,44000,12,2
141,19,4,35000,18,0
142,9,2,26000,17,2
143,14,3,39000,13,1
144,19,4,47000,14,1
145,8,5,49000,4,3
146,25,10,25000,26,3
147,29,4,36000,8,1
148,16,6,55000,13,4
149,24,6,21000,8,0
150,20,8,20000,5,2
151,3,10,56000,18,4
152,6,11,41000,29,1
153,22,12,26000,25,4
154,5,11,25000,25,0
155,21,8,20000,4,4
156,29,8,31000,20,4
157,18,4,29000,28,1
158,26,10,26000,18,4
159,17,6,45000,7,1
160,9,10,40000,27,2
161,26,8,46000,22,3
162,28,9,45000,3,4
163,19,7,52000,8,1
164,18,11,30000,22,0
165,21,3,52000,8,0
166,25,3,44000,29,4
167,5,9,48000,4,2
168,10,1,47000,14,4
169,14,4,30000,7,2
170,25,4,37000,20,3
171,28,1,23000,3,3
172,27,10,41000,7,2
173,9,9,20000,11,1
174,21,2,45000,23,3
175,25,6,31000,15,1
176,20,5,27000,10,2
177,27,12,48000,15,2
178,8,5,55000,6,3
179,19,7,48000,20,3
180,4,12,39000,12,3
181,13,6,40000,19,2
182,5,4,30000,18,2
183,24,2,23000,20,4
184,14,11,41000,7,1
185,13,12,57000,17,4
186,19,7,28000,12,3
187,25,5,22000,14,1
188,16,2,32000,13,2
189,4,7,22000,8,1
190,12,4,32000,10,1
191,19,1,28000,6,1
192,5,6,25000,5,3
193,23,4,51000,26,1
194,20,7,54000,22,3
195,6,12,44000,12,3
196,18,9,54000,27,4
197,28,6,28000,3,1
198,29,6,52000,14,4
199,11,11,46000,8,4
200,27,8,39000,4,3
